pop2024,pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lsad,lng,lat,type,rank,density
17566,18343,-0.04236,Concord,24.515,42.4629,-71.3645,concord-ma,MA,,-71.3645,42.4629,Town,98,717
17527,17711,-0.00262,Southbridge Town,20.238,42.0597,-72.0339,southbridge-town-ma,MA,2,-72.0339,42.0597,City,99,866
17311,17168,0.00833,Swansea,22.679,41.7582,-71.2142,swansea-ma,MA,,-71.2142,41.7582,Town,100,763
17265,17775,-0.02869,Rockland,10.029,42.1292,-70.9087,rockland-ma,MA,,-70.9087,42.1292,Town,101,1722
17061,16557,0.0017,Abington,9.96,42.1158,-70.9566,abington-ma,MA,5,-70.9566,42.1158,CDP,102,1713
17020,17338,-0.00462,Amesbury Town,12.292,42.8513,-70.9558,amesbury-town-ma,MA,2,-70.9558,42.8513,City,103,1385
16614,16863,-0.01477,Auburn,15.486,42.1989,-71.8457,auburn-ma,MA,,-71.8457,42.1989,Town,104,1073
16425,16313,0.00687,Northbridge,17.266,42.1289,-71.6558,northbridge-ma,MA,,-71.6558,42.1289,Town,105,951
16413,16342,0.00434,Westport,49.821,41.5798,-71.0818,westport-ma,MA,,-71.0818,41.5798,Town,106,329
16345,16382,-0.00226,East Longmeadow,12.936,42.0624,-72.4981,east-longmeadow-ma,MA,,-72.4981,42.0624,Town,107,1264
16187,16242,-0.00339,Westwood,10.881,42.2196,-71.2168,westwood-ma,MA,,-71.2168,42.2196,Town,108,1488
16001,16076,-0.00467,Duxbury,23.704,42.0444,-70.7061,duxbury-ma,MA,,-70.7061,42.0444,Town,109,675
15982,15142,0.05547,Raynham,20.477,41.9305,-71.0462,raynham-ma,MA,,-71.0462,41.9305,Town,110,780
15967,15542,0.02735,North Reading,13.157,42.5784,-71.0844,north-reading-ma,MA,,-71.0844,42.5784,Town,111,1214
15914,16176,-0.00407,Easthampton Town,13.323,42.2654,-72.6708,easthampton-town-ma,MA,2,-72.6708,42.2654,City,112,1194
15842,15736,0.00171,Longmeadow,9.089,42.0481,-72.5693,longmeadow-ma,MA,5,-72.5693,42.0481,CDP,113,1743
15831,15911,-0.00503,Fairhaven,12.382,41.6337,-70.8714,fairhaven-ma,MA,,-70.8714,41.6337,Town,114,1279
15701,15542,0.01023,Seekonk,18.395,41.8398,-71.318,seekonk-ma,MA,,-71.318,41.8398,Town,115,854
15652,15061,0.03924,Mashpee,23.394,41.6176,-70.4927,mashpee-ma,MA,,-70.4927,41.6176,Town,116,669
15598,15222,0.00328,Hudson,5.746,42.3921,-71.5649,hudson-ma,MA,5,-71.5649,42.3921,CDP,117,2715
15199,15122,0.00509,Whitman,6.935,42.079,-70.9394,whitman-ma,MA,,-70.9394,42.079,Town,118,2192
15066,15184,-0.00192,Swampscott,3.022,42.4681,-70.8913,swampscott-ma,MA,5,-70.8913,42.4681,CDP,119,4985
14856,14973,-0.00781,Holliston,18.655,42.1959,-71.4534,holliston-ma,MA,,-71.4534,42.1959,Town,120,796
14574,14191,0.02699,Uxbridge,29.588,42.0612,-71.6436,uxbridge-ma,MA,,-71.6436,42.0612,Town,121,493
14506,14815,-0.02086,Hanover,15.538,42.123,-70.8563,hanover-ma,MA,,-70.8563,42.123,Town,122,934
14108,14421,-0.0217,East Bridgewater,17.239,42.0371,-70.9422,east-bridgewater-ma,MA,,-70.9422,42.0371,Town,123,818
14089,14347,-0.01798,Bedford,13.662,42.4993,-71.2819,bedford-ma,MA,,-71.2819,42.4993,Town,124,1031
14026,13824,0.01461,Millbury,15.715,42.1922,-71.7776,millbury-ma,MA,,-71.7776,42.1922,Town,125,893
13905,13085,0.06267,Medway,11.535,42.1562,-71.4303,medway-ma,MA,,-71.4303,42.1562,Town,126,1205
13675,13431,0.01817,Harwich,20.884,41.6971,-70.0702,harwich-ma,MA,,-70.0702,41.6971,Town,127,655
13621,12516,0.08829,Rehoboth,46.933,41.8469,-71.2449,rehoboth-ma,MA,,-71.2449,41.8469,Town,128,290
13510,13893,-0.02757,Wayland,15.045,42.3604,-71.3611,wayland-ma,MA,,-71.3611,42.3604,Town,129,898
13410,13305,0.00789,Charlton,42.18,42.1339,-71.968,charlton-ma,MA,,-71.968,42.1339,Town,130,318
12983,12176,0.06628,Wrentham,21.706,42.0527,-71.3569,wrentham-ma,MA,,-71.3569,42.0527,Town,131,598
12882,12968,-0.00163,Lynnfield,9.855,42.5341,-71.0383,lynnfield-ma,MA,5,-71.0383,42.5341,CDP,132,1307
12624,12930,-0.00598,North Adams,20.347,42.6756,-73.1181,north-adams-ma,MA,2,-73.1181,42.6756,City,133,620
12620,11719,0.01431,Webster,2.971,42.0463,-71.8745,webster-ma,MA,5,-71.8745,42.0463,CDP,134,4248
12252,12422,-0.00342,Palmer Town,31.576,42.1889,-72.3065,palmer-town-ma,MA,2,-72.3065,42.1889,City,135,388
12246,12385,-0.01122,Tyngsborough,16.798,42.6678,-71.4288,tyngsborough-ma,MA,,-71.4288,42.6678,Town,136,729
12153,11538,0.0533,Lakeville,29.597,41.8344,-70.9568,lakeville-ma,MA,,-70.9568,41.8344,Town,137,411
12023,10598,0.00915,South Yarmouth,6.956,41.6671,-70.2008,south-yarmouth-ma,MA,5,-70.2008,41.6671,CDP,138,1728
11746,11902,-0.01311,Dudley,20.832,42.0538,-71.9351,dudley-ma,MA,,-71.9351,42.0538,Town,139,564
11676,11555,0.01047,Norfolk,14.898,42.1162,-71.3293,norfolk-ma,MA,,-71.3293,42.1162,Town,140,784
11641,11766,-0.01062,Weston,16.82,42.3605,-71.3034,weston-ma,MA,,-71.3034,42.3605,Town,141,692
11524,11632,-0.00928,Carver,37.306,41.8752,-70.7467,carver-ma,MA,,-70.7467,41.8752,Town,142,309
11326,11051,-0.00053,Holbrook,7.255,42.1403,-70.9979,holbrook-ma,MA,5,-70.9979,42.1403,CDP,143,1561
11188,11340,-0.0134,Norwell,20.931,42.1646,-70.8188,norwell-ma,MA,,-70.8188,42.1646,Town,144,535
10961,11062,-0.00913,Leicester,23.262,42.2384,-71.9123,leicester-ma,MA,,-71.9123,42.2384,Town,145,471
10609,10900,-0.00291,Maynard,5.211,42.426,-71.4563,maynard-ma,MA,5,-71.4563,42.426,CDP,146,2036
10579,10558,0.00199,Acushnet,18.427,41.7182,-70.9012,acushnet-ma,MA,,-70.9012,41.7182,Town,147,574
10335,10441,-0.01015,Southborough,14.01,42.2996,-71.5284,southborough-ma,MA,,-71.5284,42.2996,Town,148,738
10247,10123,0.01225,Littleton,16.516,42.5359,-71.4906,littleton-ma,MA,,-71.4906,42.5359,Town,149,620
10108,10478,-0.0004,Hull,2.872,42.3402,-70.8833,hull-ma,MA,5,-70.8833,42.3402,CDP,150,3519
10053,9618,0.04523,Middleton,13.447,42.6105,-71.0071,middleton-ma,MA,,-71.0071,42.6105,Town,151,748
10039,8606,-0.02144,Nantucket,5.823,41.2714,-70.0959,nantucket-ma,MA,5,-70.0959,41.2714,CDP,152,1724
10017,8821,0.03077,Andover,3.688,42.6557,-71.1422,andover-ma,MA,5,-71.1422,42.6557,CDP,153,2716
9791,9927,-0.0137,Plainville,10.988,42.0128,-71.3362,plainville-ma,MA,,-71.3362,42.0128,Town,154,891
9365,9350,0.0016,Sutton,32.414,42.132,-71.7503,sutton-ma,MA,,-71.7503,42.132,Town,155,289
9319,8993,0.03625,Douglas,36.446,42.0531,-71.7522,douglas-ma,MA,,-71.7522,42.0531,Town,156,256
9254,9207,0.0051,Freetown,34.463,41.7794,-71.0195,freetown-ma,MA,,-71.0195,41.7794,Town,157,269
9217,9183,0.0037,Blackstone,11.111,42.04,-71.5324,blackstone-ma,MA,,-71.5324,42.04,Town,158,830
9158,8503,0.07703,Millis,12.033,42.1731,-71.3638,millis-ma,MA,,-71.3638,42.1731,Town,159,761
9150,9216,-0.00716,Southwick,30.817,42.0526,-72.7774,southwick-ma,MA,,-72.7774,42.0526,Town,160,297
9136,8323,-0.00066,Athol,8.187,42.5934,-72.2302,athol-ma,MA,5,-72.2302,42.5934,CDP,161,1116
8566,8423,0.01698,Lancaster,27.469,42.4836,-71.6756,lancaster-ma,MA,,-71.6756,42.4836,Town,162,312
8425,8566,-0.01646,Montague,30.148,42.5566,-72.5171,montague-ma,MA,,-72.5171,42.5566,Town,163,279
8392,8228,0.01993,Westminster,35.441,42.5546,-71.9054,westminster-ma,MA,,-71.9054,42.5546,Town,164,237
8356,8463,-0.01264,Georgetown,12.859,42.7262,-70.9833,georgetown-ma,MA,,-70.9833,42.7262,Town,165,650
8280,8377,-0.01158,Cohasset,9.783,42.2624,-70.7989,cohasset-ma,MA,,-70.7989,42.2624,Town,166,846
8240,8001,0.02987,Upton,21.599,42.1765,-71.6036,upton-ma,MA,,-71.6036,42.1765,Town,167,381
8217,8137,0.00983,Templeton,31.874,42.5635,-72.0755,templeton-ma,MA,,-72.0755,42.5635,Town,168,258
8152,8109,0.0053,Dighton,22.031,41.8293,-71.1521,dighton-ma,MA,,-71.1521,41.8293,Town,169,370
8083,7977,0.01329,Sterling,30.616,42.4479,-71.776,sterling-ma,MA,,-71.776,42.4479,Town,170,264
8052,8126,-0.00911,Monson,44.22,42.0936,-72.3215,monson-ma,MA,,-72.3215,42.0936,Town,171,182
7881,7635,0.03222,West Boylston,12.953,42.3694,-71.785,west-boylston-ma,MA,,-71.785,42.3694,Town,172,608
